Year,Semester,Panelist
2019,spring,Sean Mussenden
2019,spring,Sandy Banisky
2019,spring,Ira Chinoy
2019,spring,Angela Wong (alum)
2019,spring,Kevin Blackistone
2019,spring,Karen Denny
2019,spring,Christine Harvey
2019,spring,Alexander Pyles (alum)
2019,fall,Kevin Blackistone
2019,fall,Alison Burns
2019,fall,Adam Marton
2019,fall,Emily Yahr (Alum)
2019,fall,Adrianne Flynn
2019,fall,Kathy Best
2019,fall,Sandy Banisky
2019,fall,Alex Mann (Alum)
2019,fall,Adam Marton
2019,fall,DeNeen Brown
2019,fall,Adrianne Flynn
2019,fall,John O'Connor (Alum)
2019,fall,Kevin Blackistone
2019,fall,Alison Burns
2019,fall,Bethany Swain
2019,fall,Monica McNutt (Alum)
2019,fall,Dana Priest
2019,fall,Deb Nelson
2019,fall,Krishnan Vasudevan
2019,fall,Brooks Dubose (Alum)
2019,fall,Tom Bettag
2019,fall,Mel Coffee
2019,fall,Alison Burns
2019,fall,Gillian Morley (Alum)
2019,fall,Kevin Blackistone
2019,fall,Chris Harvey
2019,fall,Marty Kaiser
2019,fall,Rachel Pacella (Alum)
2019,fall,Sandy Banisky
2019,fall,Adrianne Flynn
2019,fall,Sean Mussenden
2019,fall,Julia Karron (Alum)
2019,fall,Sean Mussenden
2019,fall,Adam Marton
2019,fall,Dana Priest
2019,fall,Naema Ahmed (Alum)
2019,fall,Sandy Banisky
2019,fall,Adrianne Flynn
2019,fall,Sean Mussenden
2019,fall,George Gerbo (Alum)
2020,spring,Adrianne Flynn
2020,spring,Kevin Blackistone
2020,spring,Bethany Swain
2020,spring,Jamal Francis (alum)
2020,spring,Adam Marton
2020,spring,Krishnan Vasudevan
2020,spring,Chris Harvey
2020,spring,Lindsay Huth (alum)
2020,spring,Clarence Williams
2020,spring,Alison Burns
2020,spring,Tim Jacobsen
2020,spring,Lindsay Simpson (alum)
2020,spring,Chris Harvey
2020,spring,Alison Burns
2020,spring,Tom Bettag
2020,spring,Regina Ham (alum)
2020,spring,Sandy Banisky
2020,spring,Adrianne Flynn
2020,spring,Kevin Klose
2020,spring,George Gerbo (alum)
2020,spring,Adam Marton
2020,spring,Sean Mussenden
2020,spring,Deb Nelson
